XML_Element,CSV_Column_Name
nct_id,Clinical_Study_ID
@rank,Rank
secondary_id,Clinical_Study_Secondary_ID
org_study_id,Organization_Study_Id
download_date,Download_Date
firstreceived_date,First_Received_Date
lastchanged_date,Last_Changed_Date
firstreceived_results_date,First_Received_Results_Date
firstreceived_results_disposition_date,First_Received_Results_Disposition_Date
brief_title,Short_Title
official_title,Official_Title
brief_summary,Brief_Summary
detailed_description,Detailed_Description
condition,Primary_Disease_or_Condition
keyword,Primary_Disease_or_Condition_Keywords
primary_outcome,Primary_Outcome_Measure_Information
secondary_outcome,Secondary_Outcome_Measure_Information
start_date,Study_Start_Date
primary_completion_date,Primary_Completion_Date
completion_date,Completion_Date
verification_date,Record_Verification_Date
overall_status,Overall_Recruitment_Status
why_stopped,Why_Stopped
lead_sponsor,Lead_Sponsor
investigator,Investigator_Information
collaborator,Collaborators
study_type,Study_Type
oversight_info,Oversight_Info
phase,Study_Phase
allocation,Study_Design_Allocation
primary_purpose,Study_Design_Primary_Purpose
intervention_model,Study_Design_Intervention_Model
intervention_model_description,Study_Design_Intervention_Model_Description
observational_model,Study_Design_Observational_Model
time_perspective,Study_Design_Time_Perspective
masking,Study_Design_Masking
masking_description,Study_Design_Masking_Description
intervention,Interventions
intervention_browse,Intervention_Browse
condition_browse,Conditions
number_of_arms,Number_of_Arms
arm_group,Arm_Group_Information
number_of_groups,Number_of_Groups
enrollment,Enrollment
study_pop,Eligibility_Study_Population_Description
sampling_method,Eligibility_Sampling_Method
criteria,Eligibility_Criteria
gender,Eligibility_Gender
gender_based,Is_Eligibility_Gender_Based
gender_description,Eligibility_Gender_Description
minimum_age,Eligibility_Minimum_Age
maximum_age,Eligibility_Maximum_Age
healthy_volunteers,Is_Healthy_Volunteer_Accepted
has_expanded_access,Is_Expanded_Access
patient_data,Patient_Data
location,Location
location_countries,Location_Countries
removed_countries,Removed_Countries
responsible_party,Responsible_Party
overall_official,Overall_Official
source,Source
url,URL
link_text,Link_Text
recruitment_details,Results_Participant_Flow_Recruitment_Details
pre_assignment_details,Results_Participant_Flow_Pre_Assignment_Details
group_list,Results_Participant_Flow_Group_List
period_list,Participant_Flow_Period_List
population,Results_Baseline_Population
analyzed_list,Results_Baseline_Analyzed_List
group_list,Results_Baseline_Group_List
measure_list,Results_Baseline_Measure_List
outcome_list,Results_Outcomes
serious_events,Results_Reported_Events_Serious
group_list,Results_Reported_Events_Group_List
other_events,Results_Reported_Events_Others
time_frame,Results_Reported_Events_Time_Frame
certain_agreements,Results_Agreements
limitations_and_caveats,Results_Limitations_and_Caveats
point_of_contact,Results_Point_of_Contact
